accommodates,bathrooms,bedrooms,beds,price,latitude,longitude,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,property_type,room_type,amenities,neighbourhood_cleansed,city,state,zipcode,market,has_availability,calendar_updated,last_scraped
3,1,1,1,119,30.31867811,-97.73205843,2,1125,28,58,88,332,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",78756,Austin,TX,78751,Austin,t,3 weeks ago,11/7/15
4,2,2,2,199,30.31272909,-97.74810178,1,60,0,5,35,310,Other,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer}",78756,Austin,TX,78756,Austin,t,7 months ago,11/7/15
2,1,1,1,97,30.33227339,-97.73670455,1,1125,6,25,55,324,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air Conditioning"",Heating,Essentials}",78756,Austin,TX,78757,Austin,t,5 days ago,11/8/15
6,1,2,3,125,30.32888034,-97.73635299,3,1125,11,11,11,11,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Shampoo}",78756,Austin,TX,78756,Austin,t,yesterday,11/7/15
2,1,1,1,97,30.31829714,-97.73248687,2,1125,27,57,87,360,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""Hair Dryer""}",78756,Austin,TX,78751,Austin,t,3 days ago,11/7/15
4,1,1,2,118,30.32667029,-97.73505716,3,1125,28,58,88,205,Loft,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers}",78756,Austin,TX,78756,Austin,t,a week ago,11/7/15
4,1,2,2,163,30.31802008,-97.73152098,2,30,23,53,83,358,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer""}",78756,Austin,TX,78751,Austin,t,today,11/8/15
3,1,2,2,125,30.32053966,-97.73262484,1,1125,0,0,0,102,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",78756,Austin,TX,78751,Austin,t,4 months ago,11/8/15
5,1,2,2,169,30.31851992,-97.73229353,2,1125,18,39,69,341,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer}",78756,Austin,TX,78756,Austin,t,today,11/7/15
10,3,3,4,650,30.3244741,-97.73670526,1,1125,29,59,89,360,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,4 days ago,11/8/15
6,1,2,3,300,30.31987409,-97.73082848,1,1125,0,0,0,221,Apartment,Entire home/apt,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",78756,Austin,TX,78751,Austin,t,8 months ago,11/7/15
4,1,1,2,75,30.31628164,-97.74503416,2,31,5,19,47,124,House,Private room,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,yesterday,11/7/15
4,1,1,3,60,30.32475727,-97.74353122,1,5,20,44,74,349,House,Private room,"{""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,4 weeks ago,11/7/15
7,2,3,5,500,30.31543554,-97.7451078,2,7,30,60,90,365,House,Entire home/apt,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer}",78756,Austin,TX,78756,Austin,t,13 months ago,11/7/15
8,2,3,4,157,30.31557163,-97.74477208,2,1125,11,11,11,137,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,4 days ago,11/7/15
4,1,1,1,180,30.31243502,-97.74581611,3,1125,19,44,74,335,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo}",78756,Austin,TX,78756,Austin,t,yesterday,11/7/15
6,2.5,2,3,172,30.32114818,-97.73898977,1,1125,29,59,89,364,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,7 weeks ago,11/7/15
7,2,3,4,399,30.31473345,-97.73848982,1,1125,4,30,45,286,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",78756,Austin,TX,78756,Austin,t,today,11/7/15
2,1,0,1,63,30.3266949,-97.73494396,3,1125,0,17,22,22,Apartment,Entire home/apt,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",78756,Austin,TX,78756,Austin,t,2 days ago,11/7/15
2,1,1,1,75,30.31775717,-97.74135186,2,1125,15,45,75,75,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,today,11/8/15
2,1,0,1,60,30.32801026,-97.73727221,2,1125,0,0,0,1,Apartment,Entire home/apt,"{""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector""}",78756,Austin,TX,78756,Austin,t,yesterday,11/8/15
4,1,2,2,95,30.33012641,-97.73483555,3,1125,0,0,0,241,House,Entire home/apt,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",78756,Austin,TX,78756,Austin,t,2 weeks ago,11/8/15
